name,abilities
Blaziken,"['Blaze', 'Speed Boost']"
Mudkip,"['Torrent', 'Damp']"
Marshtomp,"['Torrent', 'Damp']"
Swampert,"['Torrent', 'Damp']"
Poochyena,"['Run Away', 'Quick Feet', 'Rattled']"
Mightyena,"['Intimidate', 'Quick Feet', 'Moxie']"
Zigzagoon,"['Pickup', 'Gluttony', 'Quick Feet']"
Linoone,"['Pickup', 'Gluttony', 'Quick Feet']"
Wurmple,"['Shield Dust', 'Run Away']"
Silcoon,['Shed Skin']
Beautifly,"['Swarm', 'Rivalry']"
Cascoon,['Shed Skin']
Dustox,"['Shield Dust', 'Compoundeyes']"
Lotad,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
Lombre,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
Ludicolo,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
Seedot,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
Nuzleaf,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
Shiftry,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
Taillow,"['Guts', 'Scrappy']"
Swellow,"['Guts', 'Scrappy']"
Wingull,"['Keen Eye', 'Hydration', 'Rain Dish']"
Pelipper,"['Keen Eye', 'Drizzle', 'Rain Dish']"
Ralts,"['Synchronize', 'Trace', 'Telepathy']"
Kirlia,"['Synchronize', 'Trace', 'Telepathy']"
Gardevoir,"['Synchronize', 'Trace', 'Telepathy']"
Surskit,"['Swift Swim', 'Rain Dish']"
Masquerain,"['Intimidate', 'Unnerve']"
Shroomish,"['Effect Spore', 'Poison Heal', 'Quick Feet']"
Breloom,"['Effect Spore', 'Poison Heal', 'Technician']"
Slakoth,['Truant']
Vigoroth,['Vital Spirit']
Slaking,['Truant']
Nincada,"['Compoundeyes', 'Run Away']"
Ninjask,"['Speed Boost', 'Infiltrator']"
Shedinja,['Wonder Guard']
Whismur,"['Soundproof', 'Rattled']"
Loudred,"['Soundproof', 'Scrappy']"
Exploud,"['Soundproof', 'Scrappy']"
Makuhita,"['Thick Fat', 'Guts', 'Sheer Force']"
Hariyama,"['Thick Fat', 'Guts', 'Sheer Force']"
Azurill,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
Nosepass,"['Sturdy', 'Magnet Pull', 'Sand Force']"
Skitty,"['Cute Charm', 'Normalize', 'Wonder Skin ']"
Delcatty,"['Cute Charm', 'Normalize', 'Wonder Skin ']"
Sableye,"['Keen Eye', 'Stall', 'Prankster']"
Mawile,"['Hyper Cutter', 'Intimidate', 'Sheer Force']"
Aron,"['Sturdy', 'Rock Head', 'Heavy Metal']"
Lairon,"['Sturdy', 'Rock Head', 'Heavy Metal']"
Aggron,"['Sturdy', 'Rock Head', 'Heavy Metal']"
Meditite,"['Pure Power', 'Telepathy']"
Medicham,"['Pure Power', 'Telepathy']"
Electrike,"['Static', 'Lightningrod', 'Minus']"
Manectric,"['Static', 'Lightningrod', 'Minus']"
Plusle,"['Plus', 'Lightningrod']"
Minun,"['Minus', 'Volt Absorb']"
Volbeat,"['Illuminate', 'Swarm', 'Prankster']"
Illumise,"['Oblivious', 'Tinted Lens', 'Prankster']"
Roselia,"['Natural Cure', 'Poison Point', 'Leaf Guard']"
Gulpin,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']"
Swalot,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']"
Carvanha,"['Rough Skin', 'Speed Boost']"
Sharpedo,"['Rough Skin', 'Speed Boost']"
Wailmer,"['Water Veil', 'Oblivious', 'Pressure']"
Wailord,"['Water Veil', 'Oblivious', 'Pressure']"
Numel,"['Oblivious', 'Simple', 'Own Tempo']"
Camerupt,"['Magma Armor', 'Solid Rock', 'Anger Point']"
Torkoal,"['White Smoke', 'Drought', 'Shell Armor']"
Spoink,"['Thick Fat', 'Own Tempo', 'Gluttony']"
Grumpig,"['Thick Fat', 'Own Tempo', 'Gluttony']"
Spinda,"['Own Tempo', 'Tangled Feet', 'Contrary']"
Trapinch,"['Hyper Cutter', 'Arena Trap', 'Sheer Force']"
Vibrava,['Levitate']
Flygon,['Levitate']
Cacnea,"['Sand Veil', 'Water Absorb']"
Cacturne,"['Sand Veil', 'Water Absorb']"
Swablu,"['Natural Cure', 'Cloud Nine']"
Altaria,"['Natural Cure', 'Cloud Nine']"
Zangoose,"['Immunity', 'Toxic Boost']"
Seviper,"['Shed Skin', 'Infiltrator']"
Lunatone,['Levitate']
Solrock,['Levitate']
Barboach,"['Oblivious', 'Anticipation', 'Hydration']"
Whiscash,"['Oblivious', 'Anticipation', 'Hydration']"
Corphish,"['Hyper Cutter', 'Shell Armor', 'Adaptability']"
Crawdaunt,"['Hyper Cutter', 'Shell Armor', 'Adaptability']"
Baltoy,['Levitate']
Claydol,['Levitate']
Lileep,"['Suction Cups', 'Storm Drain']"
Cradily,"['Suction Cups', 'Storm Drain']"
Anorith,"['Battle Armor', 'Swift Swim']"
Armaldo,"['Battle Armor', 'Swift Swim']"
Feebas,"['Swift Swim', 'Oblivious', 'Adaptability']"
Milotic,"['Marvel Scale', 'Competitive', 'Cute Charm']"
Castform,['Forecast']
Kecleon,"['Color Change', 'Protean']"
Shuppet,"['Insomnia', 'Frisk', 'Cursed Body']"
Banette,"['Insomnia', 'Frisk', 'Cursed Body']"
Duskull,"['Levitate', 'Frisk']"
Dusclops,"['Pressure', 'Frisk']"
Tropius,"['Chlorophyll', 'Solar Power', 'Harvest']"
Chimecho,['Levitate']
Absol,"['Pressure', 'Super Luck', 'Justified']"
Wynaut,"['Shadow Tag', 'Telepathy']"
Snorunt,"['Inner Focus', 'Ice Body', 'Moody']"
Glalie,"['Inner Focus', 'Ice Body', 'Moody']"
Spheal,"['Thick Fat', 'Ice Body', 'Oblivious']"
Sealeo,"['Thick Fat', 'Ice Body', 'Oblivious']"
Walrein,"['Thick Fat', 'Ice Body', 'Oblivious']"
Clamperl,"['Shell Armor', 'Rattled']"
Huntail,"['Swift Swim', 'Water Veil']"
Gorebyss,"['Swift Swim', 'Hydration']"
Relicanth,"['Swift Swim', 'Rock Head', 'Sturdy']"
Luvdisc,"['Swift Swim', 'Hydration']"
Bagon,"['Rock Head', 'Sheer Force']"
Shelgon,"['Rock Head', 'Overcoat']"
Salamence,"['Intimidate', 'Moxie']"
Beldum,"['Clear Body', 'Light Metal']"
Metang,"['Clear Body', 'Light Metal']"
Metagross,"['Clear Body', 'Light Metal']"
Regirock,"['Clear Body', 'Sturdy']"
Regice,"['Clear Body', 'Ice Body']"
Registeel,"['Clear Body', 'Light Metal']"
Latias,['Levitate']
Latios,['Levitate']
Kyogre,['Drizzle']
Groudon,['Drought']
Rayquaza,['Air Lock']
Jirachi,['Serene Grace']
Deoxys,['Pressure']
Turtwig,"['Overgrow', 'Shell Armor']"
Grotle,"['Overgrow', 'Shell Armor']"
Torterra,"['Overgrow', 'Shell Armor']"
Chimchar,"['Blaze', 'Iron Fist']"
Monferno,"['Blaze', 'Iron Fist']"
Infernape,"['Blaze', 'Iron Fist']"
Piplup,"['Torrent', 'Defiant']"
Prinplup,"['Torrent', 'Defiant']"
Empoleon,"['Torrent', 'Defiant']"
Starly,"['Keen Eye', 'Reckless']"
Staravia,"['Intimidate', 'Reckless']"
Staraptor,"['Intimidate', 'Reckless']"
Bidoof,"['Simple', 'Unaware', 'Moody']"
Bibarel,"['Simple', 'Unaware', 'Moody']"
Kricketot,"['Shed Skin', 'Run Away']"
Kricketune,"['Swarm', 'Technician']"
Shinx,"['Rivalry', 'Intimidate', 'Guts']"
Luxio,"['Rivalry', 'Intimidate', 'Guts']"
Luxray,"['Rivalry', 'Intimidate', 'Guts']"
Budew,"['Natural Cure', 'Poison Point', 'Leaf Guard']"
Roserade,"['Natural Cure', 'Poison Point', 'Technician']"
Cranidos,"['Mold Breaker', 'Sheer Force']"
Rampardos,"['Mold Breaker', 'Sheer Force']"
Shieldon,"['Sturdy', 'Soundproof']"
Bastiodon,"['Sturdy', 'Soundproof']"
Burmy,"['Shed Skin', 'Overcoat']"
Wormadam,"['Anticipation', 'Overcoat']"
Mothim,"['Swarm', 'Tinted Lens']"
Combee,"['Honey Gather', 'Hustle']"
Vespiquen,"['Pressure', 'Unnerve']"
Pachirisu,"['Run Away', 'Pickup', 'Volt Absorb']"
Buizel,"['Swift Swim', 'Water Veil']"
Floatzel,"['Swift Swim', 'Water Veil']"
Cherubi,['Chlorophyll']
Cherrim,['Flower Gift']
Shellos,"['Sticky Hold', 'Storm Drain', 'Sand Force']"
Gastrodon,"['Sticky Hold', 'Storm Drain', 'Sand Force']"
Ambipom,"['Technician', 'Pickup', 'Skill Link']"
Drifloon,"['Aftermath', 'Unburden', 'Flare Boost']"
Drifblim,"['Aftermath', 'Unburden', 'Flare Boost']"
Buneary,"['Run Away', 'Klutz', 'Limber']"
Lopunny,"['Cute Charm', 'Klutz', 'Limber']"
Mismagius,['Levitate']
Honchkrow,"['Insomnia', 'Super Luck', 'Moxie']"
Glameow,"['Limber', 'Own Tempo', 'Keen Eye']"
Purugly,"['Thick Fat', 'Own Tempo', 'Defiant']"
Chingling,['Levitate']
Stunky,"['Stench', 'Aftermath', 'Keen Eye']"
Skuntank,"['Stench', 'Aftermath', 'Keen Eye']"
Bronzor,"['Levitate', 'Heatproof', 'Heavy Metal']"
Bronzong,"['Levitate', 'Heatproof', 'Heavy Metal']"
Bonsly,"['Sturdy', 'Rock Head', 'Rattled']"
Mime Jr.,"['Soundproof', 'Filter', 'Technician']"
Happiny,"['Natural Cure', 'Serene Grace', 'Friend Guard']"
Chatot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
Spiritomb,"['Pressure', 'Infiltrator']"
Gible,"['Sand Veil', 'Rough Skin']"
Gabite,"['Sand Veil', 'Rough Skin']"
Garchomp,"['Sand Veil', 'Rough Skin']"
Munchlax,"['Pickup', 'Thick Fat', 'Gluttony']"
Riolu,"['Steadfast', 'Inner Focus', 'Prankster']"
Lucario,"['Steadfast', 'Inner Focus', 'Justified']"
Hippopotas,"['Sand Stream', 'Sand Force']"
Hippowdon,"['Sand Stream', 'Sand Force']"
Skorupi,"['Battle Armor', 'Sniper', 'Keen Eye']"
Drapion,"['Battle Armor', 'Sniper', 'Keen Eye']"
Croagunk,"['Anticipation', 'Dry Skin', 'Poison Touch']"
Toxicroak,"['Anticipation', 'Dry Skin', 'Poison Touch']"
Carnivine,['Levitate']
Finneon,"['Swift Swim', 'Storm Drain', 'Water Veil']"
Lumineon,"['Swift Swim', 'Storm Drain', 'Water Veil']"
Mantyke,"['Swift Swim', 'Water Absorb', 'Water Veil']"
Snover,"['Snow Warning', 'Soundproof']"
Abomasnow,"['Snow Warning', 'Soundproof']"
Weavile,"['Pressure', 'Pickpocket']"
Magnezone,"['Magnet Pull', 'Sturdy', 'Analytic']"
Lickilicky,"['Own Tempo', 'Oblivious', 'Cloud Nine']"
Rhyperior,"['Lightningrod', 'Solid Rock', 'Reckless']"
Tangrowth,"['Chlorophyll', 'Leaf Guard', 'Regenerator']"
Electivire,"['Motor Drive', 'Vital Spirit']"
Magmortar,"['Flame Body', 'Vital Spirit']"
Togekiss,"['Hustle', 'Serene Grace', 'Super Luck']"
Yanmega,"['Speed Boost', 'Tinted Lens', 'Frisk']"
Leafeon,"['Leaf Guard', 'Chlorophyll']"
Glaceon,"['Snow Cloak', 'Ice Body']"
Gliscor,"['Hyper Cutter', 'Sand Veil', 'Poison Heal']"
Mamoswine,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
Porygon-Z,"['Adaptability', 'Download', 'Analytic']"
Gallade,"['Steadfast', 'Justified']"
Probopass,"['Sturdy', 'Magnet Pull', 'Sand Force']"
Dusknoir,"['Pressure', 'Frisk']"
Froslass,"['Snow Cloak', 'Cursed Body']"
Rotom,['Levitate']
Uxie,['Levitate']
Mesprit,['Levitate']
Azelf,['Levitate']
Dialga,"['Pressure', 'Telepathy']"
Palkia,"['Pressure', 'Telepathy']"
Heatran,"['Flash Fire', 'Flame Body']"
Regigigas,['Slow Start']
Giratina,"['Pressure', 'Telepathy', 'Levitate']"
Cresselia,['Levitate']
Phione,['Hydration']
Manaphy,['Hydration']
Darkrai,['Bad Dreams']
Shaymin,"['Natural Cure', 'Serene Grace']"
Arceus,['Multitype']
Victini,['Victory Star']
Snivy,"['Overgrow', 'Contrary']"
Servine,"['Overgrow', 'Contrary']"
